,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
117,Architecture Exploration and Reflection Meet LLM-based Agents,J. A. Diaz-Pace; A. Tommasel; R. Capilla; Y. E. Ramírez,2025,IEEE Xplore,10.1109/ICSA-C65153.2025.00015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11014919,Architecture Exploration and Reflection Meet LLM-based Agents,architecture exploration and reflection meet llm-based agents,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,1,1,,"Software architecture design (general domain, with case study in mobility application)",Exploration and evaluation of architectural patterns and tactics for given requirements using LLM-based agents,GPT-4o-mini (via LlamaIndex),No,No,Hybrid (ReAct and LATS agent frameworks with tool orchestration),"Reflection, tree-of-thought, multi-step reasoning, LLM-as-a-judge","Zero-shot, few-shot (prompting with domain-specific instructions)",Instruction + Descriptive + Reflection,Yes,ReArch,Yes (GitHub repository),CampusBike case study (from prior work),No,"Correctness, Completeness, Degree of requirement satisfaction (LLM-as-a-judge)",Case study (comparison with original architecture),"functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,0.5,1,3.5,0,0,0,0,0,0,1,0,0,0,concept/prototype,"Duplicate patterns, hallucinations, lack of real-world validation, overly general recommendations"
118,LLM-Based Safety Case Generation for Baidu Apollo: Are We there Yet?,O. Odu; A. B. Belle; S. Wang,2025,IEEE Xplore,10.1109/CAIN66642.2025.00033,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030020,LLM-Based Safety Case Generation for Baidu Apollo: Are We there Yet?,llm-based safety case generation for baidu apollo: are we there yet?,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,1,1,,"Automotive domain, specifically autonomous driving systems (Baidu Apollo)",Automatic generation of safety (assurance) cases for the ML-enabled trajectory prediction component in an autonomous driving system,GPT-4o,No,No,Standalone,,,Instruction + Descriptive + Example (CoT),yes,no,no,"Safety case for Baidu Apollo, ACP and derived assurance case for DeepMind system",yes,"Exact Match, BLEU Score, Semantic Similarity (Cosine Similarity)",Controlled experiment (comparison of LLM-generated vs. manually created safety cases),"functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,0,0,0,0,1,0,0,0,"concept/prototype (case study, not in production)",Single case study (Baidu Apollo); LLM-generated safety case not reviewed by original system developers; generalizability limited
119,A Smart Framework for Optimizing User Feedback Prioritization in Application Development,N. Almoqren; M. Alrashoud,2025,IEEE Xplore,10.1109/ITIKD63574.2025.11004934,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11004934,A Smart Framework for Optimizing User Feedback Prioritization in Application Development,a smart framework for optimizing user feedback prioritization in application development,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,1,1,1,1,,"Mobile application development, specifically user feedback from app reviews","Automated extraction, classification, and prioritization of requirements from user reviews using GenAI, active learning, and ontologies",N/A,No,No,Hybrid,"Active learning, ontology-based retrieval, LLM-based extraction/classification, optimization algorithms","Zero-shot, few-shot, in-context learning (ICL)",Instruction + Descriptive,no,no,no,no,no,,Conceptual framework (no empirical evaluation yet),"functional_suitability, usability, maintainability",1,0.5,0.5,1,3,0,0,0,0,1,0,0,0,0,0,concept,No empirical evaluation; framework is theoretical; future work to evaluate in real-world scenarios
120,Evaluating Multi-Modal LLMs for Automatically Recognizing Semantic Elements in UML Use Case Diagram Images,J. Hassine,2025,IEEE Xplore,10.1109/SANER64311.2025.00092,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992325,Evaluating Multi-Modal LLMs for Automatically Recognizing Semantic Elements in UML Use Case Diagram Images,evaluating multi-modal llms for automatically recognizing semantic elements in uml use case diagram images,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,,1,,General domain (UML Use Case Diagrams in Requirements Engineering),"Automatic recognition and extraction of semantic elements (actors, use cases, boundaries, relationships) from UML Use Case Diagram images","GPT-4o, GPT-4o-mini",No,No,Standalone,Zero-shot,Zero-shot,Instruction,Yes,no,no,"New UCD image dataset (191 images, 94 UCDs)",Yes,"Precision, Recall, F1-score, F2-score, Correct count (for actors/use cases)",Controlled experiment (quantitative evaluation on annotated dataset),"functional_suitability, reliability",1,1,1,1,4,0,0,0,0,0,0,1,1,0,0,concept,"Dataset sampling bias, manual labeling errors, vision limitations of GPT-4o/mini, lack of fine-tuning"
121,Generative Rules for More Creative Thinking About Requirements,N. Maiden,2025,IEEE Xplore,10.1109/MS.2025.3539819,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10953346,Generative Rules for More Creative Thinking About Requirements,generative rules for more creative thinking about requirements,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,1,1,,,,General requirements engineering across domains; focus on creative thinking in RE tasks,Augmenting creative thinking in requirements elicitation and analysis using generative AI; generating novel requirements and identifying unexpected stakeholders,ChatGPT-4o (GPT-4o),No,No,Standalone,Prompt engineering with generative rules (SCAMPER); no advanced techniques like RLHF or retrieval-augmentation,Zero-shot,Instruction + Descriptive (with generative rules),yes,no,no,no,no,,"N/A (experience-based column, not empirical study)","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,0,0.5,0.5,2,0,0,0,0,0,0,0,0,0,0,discussed potential,Lack of empirical evaluation; prompts do not incorporate advanced creative thinking knowledge by default
122,How Reliable Are GPT-4o and LLAMA3.3-70B in Classifying Natural Language Requirements?,F. Karlsson; P. Chatzipetrou; S. Gao; T. E. Havstorm,2025,IEEE Xplore,10.1109/MS.2025.3572561,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11012694,How Reliable Are GPT-4o and LLAMA3.3-70B in Classifying Natural Language Requirements?,how reliable are gpt-4o and llama3.3-70b in classifying natural language requirements?,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,,,,General software engineering (natural language requirements classification),Classification of natural language requirements (NLRs) into functional and non-functional requirements,"GPT-4o, LLAMA3.3-70B",No,No,Standalone,,,Instruction,yes,no,no,PROMISE NFR dataset,yes,"Precision, Recall, F1-score, Fleiss’ Kappa",Controlled experiment,"functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,0,0,0,0,0,1,0,0,concept,Did not investigate effect of prompt design variation; did not elaborate on reasons for misclassifications; did not evaluate impact of batch size.
123,Evaluating Large Language Models in Exercises of UML Use Case Diagrams Modeling,G. Garaccione; P. F. Vega Carrazan; R. Coppola; L. Ardito,2025,IEEE Xplore,10.1109/NLBSE66842.2025.00015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029431,Evaluating Large Language Models in Exercises of UML Use Case Diagrams Modeling,evaluating large language models in exercises of uml use case diagrams modeling,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,1,,,General software engineering education (UML Use Case Diagrams),Automatic generation of UML Use Case Diagrams from natural language requirements,ChatGPT-4,No,No,Standalone,one-shot,one-shot,Instruction,yes,no,no,"UML use case diagram exercises (17 exercises, available online)",yes,"Completeness Rate, Redundancy Rate",Controlled experiment (comparison with human solutions),functional_suitability,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,concept/prototype,"Limited sample size, single human solver, one-shot prompting, limited generalizability"
124,Rethinking Technological Investment and Cost-Benefit: A Software Requirements Dependency Extraction Case Study,G. Ginde; G. Ruhe; C. Saunders,2025,IEEE Xplore,10.1109/ACCESS.2025.3556313,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10945779,Rethinking Technological Investment and Cost-Benefit: A Software Requirements Dependency Extraction Case Study,rethinking technological investment and cost-benefit: a software requirements dependency extraction case study,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,,,,1,Software requirements dependency extraction (general software engineering domain),"Requirements dependency extraction/classification (REQUIRES, RELATES_TO) from textual requirements","BERT (fine-tuned, encoder-only LLM)",Yes,No,Standalone,fine-tuning (transfer learning),supervised (not zero/few/one-shot),N/A (BERT is not prompt-based),no,RDC-BERT (fine-tuned BERT for RDC),no,"Firefox, Typo3 (both open-source requirements datasets)",yes,"F1-score, F2-score, Precision, Recall, ROI (Return on Investment)",controlled experiment (empirical evaluation on two datasets),"functional_suitability, performance_efficiency, usability",1,1,1,1,4,1,1,0,1,1,0,0,1,0,0,"concept/prototype (proof of concept tool, not in production)",Hardware/computational costs not included; generalizability to other domains/LLMs not tested; multiple runs for finer metrics suggested; responsible AI trade-offs discussed as future work.
125,Leveraging LLMs to Automate Software Architecture Design from Informal Specifications,A. Tagliaferro; S. Corboe; B. Guindani,2025,IEEE Xplore,10.1109/ICSA-C65153.2025.00049,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11014997,Leveraging LLMs to Automate Software Architecture Design from Informal Specifications,leveraging llms to automate software architecture design from informal specifications,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,1,,,General domain (software architecture design from informal specifications),Automated generation of UML component diagrams from informal natural language software specifications,GPT-4o (December 2024 version),No,No,Standalone,"In-context learning, prompt engineering",Few-shot,Instruction + Example,yes,no,no,Proprietary exam traces from Politecnico di Milano,no,"Syntactic correctness (isConn, illConn, compWithMeth), Semantic correctness (specMissComp, specMissInt, domMissComp, domMissInt, specMissMeth, misplMeth, domMissMeth), Complexity (Δcomp, Δint, Δconn, ΔmaxReqInt, ΔmaxExpInt, ΔprimComp, ΔprimInt)",Controlled experiment (comparison with expert-drawn ground truth diagrams),"functional_suitability, usability",1,1,1,1,4,0,0,0,0,0,0,1,0,0,0,concept/prototype,"Oversimplification, missing implicit/domain-specific elements, limited scalability, non-determinism"
126,"Assessing Compliance of Software System Designs to Laws, Regulations, and their Underlying Values",A. Marczak-Czajka; K. Dearstyne; J. Cleland-Huang,2025,IEEE Xplore,10.1109/Designing66910.2025.00015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029552,"Assessing Compliance of Software System Designs to Laws, Regulations, and their Underlying Values","assessing compliance of software system designs to laws, regulations, and their underlying values",New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,1,1,1,1,,"Safety-critical systems (e.g., baby monitors, multi-vehicle autonomous Uncrewed Aerial Systems) with a focus on legal and societal value compliance","Mapping requirements and design decisions to laws, regulations, and societal values; compliance assessment",GPT-4.0,No,No,Standalone,"Zero-shot, prompt engineering, interactive querying",Zero-shot,"Instruction, scenario-based, mapping, classification",yes,Accountable Design Assistant (ADA),No,No,No,"Qualitative assessment (focus group feedback, case study analysis)","Case study, focus group","functional_suitability, usability",1,1,1,1,4,0,1,1,0,0,0,0,0,0,0,"concept/prototype, barriers highlighted","Limited real-world validation, participants did not interact directly with the tool, values engagement not deeply assessed, generalizability limited by case study scope"
127,"Can GPT-4 Aid in Detecting Ambiguities, Inconsistencies, and Incompleteness in Requirements Analysis? A Comprehensive Case Study","Mahbub, T; Dghaym, D; Shankarnarayanan, A; Syed, T; Shapsough, S; Zualkernan, I",2024,Web of Science,10.1109/ACCESS.2024.3464242,http://dx.doi.org/10.1109/ACCESS.2024.3464242,J,"can gpt-4 aid in detecting ambiguities, inconsistencies, and incompleteness in requirements analysis? a comprehensive case study",New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,,1,,"Healthcare (mechanical lung ventilator, industrial SRS)","Detection of ambiguities, inconsistencies, and incompleteness in requirements analysis; technical question answering from SRS; defect detection across SRS versions",GPT-4 Turbo (and GPT-4 Vision for figures),No,No,Standalone,,,"Instructional, section-specific, and question-answering",yes,no,no,MLV SRS (Mechanical Lung Ventilator) from ABZ 2024; custom QA dataset from GitHub issues,yes,"Precision, Severity rating (1-5), Recall (for versioning and expert comparison), Human expert qualitative analysis","Case study, expert study, comparison with formal modeling, QA dataset validation","functional_suitability, usability, reliability",1,1,1,1,4,0,0,1,1,1,0,1,1,0,0,concept/prototype; barriers highlighted,"Limited domain/contextual understanding, inability to cross-reference, struggles with diagrams, verbose answers, not a replacement for formal modeling"
128,Prompting GPT-4 to support automatic safety case generation,"Sivakumar, M; Belle, AB; Shan, JJ; Shahandashti, KK",2024,Web of Science,10.1016/j.eswa.2024.124653,http://dx.doi.org/10.1016/j.eswa.2024.124653,J,prompting gpt-4 to support automatic safety case generation,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,1,1,,"Safety-critical systems (automotive, healthcare, energy); focus on safety case generation for X-ray systems, ML-enabled tire noise recognition, and lane management systems",Automatic generation of safety cases using GSN (Goal Structuring Notation) with LLMs; evaluation of LLM's ability to generate structurally and semantically correct safety arguments,GPT-4,No,No,Standalone,,,Instruction + Descriptive + Example (varies by experiment),yes,no,no,no,no,"Structural and lexical similarity (manual rating), Cosine similarity (semantic similarity, automated), Reasonability (manual rating), Kendall's Tau (inter-rater agreement)",Controlled experiment with multiple runs and human expert evaluation,"functional_suitability, usability, reliability",1,1,1,1,4,0,0,0,0,0,0,1,1,0,0,concept/prototype,Non-determinism of LLM outputs; dependency on prompt design; limited by information in reference cases; human intervention still required for high-stakes use
129,Collision risk prediction and takeover requirements assessment based on radar-video integrated sensors data: A system framework based on LLM,"Liu, QC; Yu, RH; Cai, YF; Yuan, Q; Wei, HL; Lv, C",2025,Web of Science,10.1016/j.aap.2025.108041,http://dx.doi.org/10.1016/j.aap.2025.108041,J,collision risk prediction and takeover requirements assessment based on radar-video integrated sensors data: a system framework based on llm,New,FALSE,FALSE,Analyze now,Yijun,,Yes,F,,1,,1,,"Automotive (autonomous driving, road safety)",Collision risk prediction and takeover requirements assessment using radar-video integrated sensors data,LLaMA3-8B-Instruct,Yes,No,Standalone,"Reasoning chain, error detection and correction, LoRA parameter-efficient fine-tuning",Few-shot (two-stage fine-tuning with domain/task data),Instruction + Descriptive + Iterative (reasoning chain),yes,CPTR-LLM,no,Proprietary radar-video integrated sensors dataset (Jiangsu University campus),no,"Accuracy, Precision, Recall, Human evaluation (reliability, consistency), Robustness (CS-ARDL, AMG)","Controlled experiment, ablation study, empirical analysis, robustness check","functional_suitability, reliability, performance_efficiency, usability",1,1,1,1,4,0,0,0,1,1,1,1,0,0,0,"concept/prototype, practical application potential discussed, barriers highlighted",No driver-related data; sensor/environmental limitations; lack of complex real-world samples; hallucination risk; not intended to replace human decision-making
Old (2019-2024.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Could a Large Language Model Contribute Significantly to Requirements Analysis?,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197103918&doi=10.1007%2f978-3-031-61007-3_19&partnerID=40&md5=406d6ed33ca28a57f26ece1e2e6318a9,,,,,,,,,YES,F,,1,,,,General organizational systems ,System Structure Analysis and Requirement Situation Analysi,ChatGPT-4,NO,-,Standalone use (ChatGPT-4 used directly with manually designed prompts; no retrieval augmentation or hybrid agents).,,-,Instruction，Iterative,YES,No,No,"proprietary case studies (ride-hailing, BCMA, Amazon warehouses).",Partially,"Qualitative assessment (human interpretation of usefulness, coherence, and relevance)",Quasi-experiment and case study,"Functional Suitability, relialibity",1,1,0.5,1,3.5,no,no,no,no,no,no,YES,YES,no,no,Only conceptual,"Lack of common-sense reasoning
Recommendations often impractical or irrelevant"
2,Engineering Safety Requirements for Autonomous Driving with Large Language Models,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198180648&doi=10.1109%2fRE59067.2024.00029&partnerID=40&md5=317ea27f5761c7c9bb14ff4451102c7f,,,,,,,,,YES,F,,,,1,1,"Automotive domain, specifically autonomous driving safety requirements engineering",Engineering safety requirements,GPT-4,No,-,Standalone pipeline (Python script orchestrating LLM API calls for each subtask),"Few-shot learning, rule-based hybridization, prompt engineering, redundancy detection, retrieval-augmented generation (RAG) discussed",FS,Instuction and Iterative,Yes,"no (prototype pipeline, not named)",no,"no (uses company-internal and public scenarios, not a named dataset)",no,"Expert review checklist (ISO 26262 criteria), qualitative feedback, average expert scores (Likert scale)","Expert study, case study, iterative design science cycles",Reliability，Security,1,1,1,0.5,3.5,no,YES,no,YES,YES,no,YES,YES,YES,no,"concept/prototype, evaluated in pilot with industry experts, not in production","LLM hallucinations, lack of systematic completeness in scenario identification, need for human-in-the-loop, not yet suitable for full automation, domain adaptation challenges"
3,Automated requirement contradiction detection through formal logic and LLMs,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195535591&doi=10.1007%2fs10515-024-00452-x&partnerID=40&md5=38f7fd3126f46b82b1f306541ac340e1,,,,,,,,,YES,F,,1,,1,,Automotive and related engineering domains; general formal requirements in controlled natural language,Contradiction detection between requirement pairs,GPT-3,NO,temperature:0,Hybrid,,FS COT,"Question, Instruction",Yes,ALICE (Automated Logic for Identifying Contradictions in Engineering),no,"Dataset 1 (reference, available), Dataset 2 (anonymized, partially available), Dataset 3 (anonymized, partially available)",yes,"accuracy, recall, precision, confusion matrix, human expert validation",Controlled experiment with real-world and synthetic datasets; expert validation,"Reliability,Functional Suitability, Compatibility，Performance Efficiency",1,1,1,1,4,NO,NO,no,YES,Computational,NO,no,YES,no,no,concept/prototype; integration into product development discussed; barriers and future work highlighted,"LLM and formal logic limitations, dataset size, generalizability to non-formal requirements, language ambiguity, passive constructions, neologisms, and technical writing style."
4,Model Generation with LLMs: From Requirements to UML Sequence Diagrams,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203104651&doi=10.1109%2fREW61692.2024.00044&partnerID=40&md5=aa4d86c40139c05c35b7a2bf861fcb65,,,,,,,,,YES,F,,,1,,,"General domain (multiple domains: cyber-physical, healthcare, e-commerce, gaming, etc.)",Requirements to UML sequence diagram transformation,ChatGPT,NO,-,Standalone,zero-shot,-,instruction，Iterative,Yes,no,no,"PURE, Ten Lockheed Martin Cyber-Physical Challenges, user story dataset (Dalpiaz & Sturm 2020)",yes,"completeness, correctness, adherence to standard, understandability, terminological alignment","Expert study (qualitative and quantitative evaluation by experienced annotators, thematic analysis)",Functional Suitability，Reliability，Performance Efficiency,1,1,1,1,4,no,No,NO,YES,NO,no,YES,no,YES,no,"concept/prototype, discussed potential, barriers highlighted","Lack of domain/contextual knowledge, memory-induced hallucinations, ignored requirements modifications, variability of output, subjectivity in evaluation"
5,ReqCompletion: Domain-Enhanced Automatic Completion for Software Requirements,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202750940&doi=10.1109%2fRE59067.2024.00023&partnerID=40&md5=0a64a29adbf00d6f0ea32078e15e2e6f,,,,,,,,,YES,F,,,1,,,"software requirements (general domain, with UAV and Building Automation System as examples)",Context-aware requirement writing,GPT-2,YES,-,Standalone,"knowledge-injection, pointer network, knowledge distillation",-,-,Yes,ReqCompletion (and DistilReqCompletion),no,"Dronology UAV requirements, BAS Standard Specification",yes,"Recall@1, Recall@3, Recall@5, Recall@7, ROUGE (user study)","controlled experiment, ablation study, small user study","Functional Suitability,Performance Efficiency,Interaction Capability",1,1,1,1,4,no,No,NO,NO,NO,YES,no,no,no,no,"concept/prototype, small user study, barriers highlighted","Only single-token completion, requires domain ontologies, limited user study, only two domains evaluated"
6,Generating Test Scenarios from NL Requirements Using Retrieval-Augmented LLMs: An Industrial Study,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202782130&doi=10.1109%2fRE59067.2024.00031&partnerID=40&md5=270d40e949bba76cb02755d0c136ffcb,,,,,,,,,YES,F,,,,1,,"Logistics (postal/delivery software, Austrian Post)",Test Scenario Generation,GPT-3.5,No,temperature:0,Retrieval-augmented (RAG),"Few-shot and zero-shot prompting, context retrieval via vector DB, chunking, glossary terms for domain adaptation",FS，ZS,Instruction,Yes,RAGTAG,no,"Proprietary industrial requirements and test scenarios from Austrian Post (ProjA, ProjB)",no,"BLEU, ROUGE, METEOR, Expert human evaluation (Likert scale: relevance, coverage, correctness, coherence, feasibility)",Controlled experiment (quantitative metrics) and expert user study (interview survey),"Functional Suitability, Reliability, ",1,1,1,1,4,no,No,NO,NO,NO,NO,YES,no,no,no,"concept/prototype, positive expert feedback, ready for adoption in context, not yet in production","Domain-specific knowledge gaps, bilingual requirements, need for human-in-the-loop for correctness, input data quality, lack of architectural/system context, no open-source tool or dataset"
7,Probing with Precision: Probing Question Generation for Architectural Information Elicitation,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202449923&doi=10.1145%2f3643666.3648577&partnerID=40&md5=acafcc84d8ceba7ee6483e45adbd3ee8,,,,,,,,,YES,F,1,,,,,Retrieval-augmented generation (RAG),,GPT-3.5-turbo,No,,Retrieval-augmented generation (RAG),,FS,Instruction,Yes,no,no,"PURE (PUblic REquirements) dataset, annotated subset for ASR",yes,"F2-score (ASR identification), accuracy (RAG module), human evaluation: relevance, seeking new information, usefulness, redundancy","Human expert study (software architects), automated metrics for ASR identification, qualitative human evaluation for PQs",Functional Suitability，Reliability，Performance Efficiency,1,1,1,1,4,no,No,NO,NO,no,no,no,YES,no,no,concept/prototype; future empirical studies planned,No standard automated metrics for PQ quality; LLM output variability; embedding model not fine-tuned on SRS
8,Assessing the Impact of GPT-4 Turbo in Generating Defeaters for Assurance Cases,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197284933&doi=10.1145%2f3650105.3652291&partnerID=40&md5=04cdab32f27799d68ede841be757cf94,,,,,,,,,YES,S,,,,1,,Standalone,"Chain-of-thought prompting, deterministic output via seed setting, expert review for validation",GPT-4 Turbo,No,-,Standalone,"Chain-of-thought prompting, deterministic output via seed setting, expert review for validation","FS, COT",Instruction,Yes,no,no,Custom set of 22 EA-based questions (available on GitHub),yes,"Expert rating (1-5 scale), Kendall rank correlation coefficient",Expert study (two independent raters),Functional Suitability，Reliability,1,1,1,1,4,no,No,NO,NO,no,no,no,YES,no,no,concept/prototype,Limited to preliminary evaluation (Phase I); semantic understanding less robust than structural/generation; future work needed for full pipeline and mitigation phase
9,Interlinking User Stories and GUI Prototyping: A Semi-Automatic LLM-Based Approach,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202735814&doi=10.1109%2fRE59067.2024.00045&partnerID=40&md5=3d10a9520bbfe8f01779c27f8828421c,,,,,,,,,YES,F,1,,,1,,"GUI prototyping for mobile applications (general domain, using Rico dataset)","Requirements realization detection, GUI component recommendation",GPT-4,No,temperature:0,"Standalone (not yet fully integrated, but designed for plugin integration in prototyping tools)","Zero-shot, few-shot, chain-of-thought prompting (in-context learning)","FS,ZS, COT",Instruction,Yes,no,no,Custom user story–GUI dataset based on Rico,yes,"Precision, Recall, F1-score, Accuracy",Controlled experiment (gold standard evaluation with annotated dataset),Interaction Capability， Reliability，Flexibility,1,1,1,1,4,no,No,NO,YES,no,no,YES,YES,no,no,"concept/prototype, not yet integrated; future integration planned, barriers discussed",Dataset limited to mobile GUIs and post-hoc user stories; not yet evaluated in real prototyping tools; recommendations not fully evaluated
10,Deriving Domain Models From User Stories: Human vs. Machines,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202714739&doi=10.1109%2fRE59067.2024.00014&partnerID=40&md5=6dd2268d836bcb322d3649953a1b2b11,,,,,,,,,YES,F,,1,,,,"general domain (user stories from various domains, e.g., Camperplus, Fish&Chips, Grocery, etc.)",Domain model extraction from user stories,GPT-4,No,-,Standalone,"Prompt engineering (structured, persona, context, reasoning, template)",ZS,Instruction,Yes,no,no,Benchmark dataset of 487 user stories and domain models (nine cases),Yes,"F0.5-score, F1-score, F2-score, precision, recall",Controlled experiment (comparison with human and other automated approaches),Functional Suitability，Performance Efficiency,1,1,1,1,4,no,No,NO,YES,no,no,no,YES,no,no,"concept/prototype, barriers highlighted",Performance varies by user story characteristics; LLM struggles with distinguishing classes vs. attributes; no hyperparameter optimization; limited to benchmark domains
11,Evaluating Generative Language Models with Prompt Engineering for Categorizing User Stories to its Sector Domains,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196834386&doi=10.1109%2fI2CT61223.2024.10544242&partnerID=40&md5=17098065a3814fb1c17cd702c9487e2f,,,,,,,,,YES,F,,1,,,,"Software development (Agile, smart home user stories)",User story domain classification,GPT-3.5-turbo，Llama-2-chat-hf,No,temperature:0,Standalone,"zero-shot, few-shot",ZS、FS,Instruction,Yes,no,no,Crowd-RE smart home requirements dataset,yes,"precision, recall, F1-score",controlled experiment (benchmarking on labeled dataset),Functional Suitability， Performance Efficiency,1,1,1,1,4,NO,NO,NO,YES,no,no,YES,YES,YES,no,concept/prototype,"Dataset labeling ambiguity, prompt design sensitivity, generalizability beyond user story classification"
12,Prompt Sapper: A LLM-Empowered Production Tool for Building AI Chains,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187400144&doi=10.1145%2f3638247&partnerID=40&md5=37a4b47d9e8fefa20f0d887f69306946,,,,,,,,,YES,F,1,1,,,,General domain; no-code/low-code AI service development for various domains via visual programming and LLMs,Requirements  acquisition and analysis,GPT-3.5/4,YES,-,Standalone,LLM-powered co-pilots for requirement elicitation and task decomposition; block-based visual programming; prompt engineering,FS,Question，description,Yes,Prompt Sapper,yes,no,no,"time spent, correctness, usability scores (cognitive dimensions), Likert-scale user ratings","User study (controlled experiment, usability study)",Functional Suitabilit，Usability，Interaction Capability,1,1,1,1,4,no,no,no,YES,computational,no,no,YES,YES,YES,"concept/prototype, open-source, discussed potential, integration with other tools planned",Prompt testing is ad hoc; lacks systematic prompt evaluation; challenges in maintaining stability with fast LLM iteration; current tool does not support automated generation of control flow (if/while) in design view
13,Requirements are All You Need: From Requirements to Code with LLMs,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202706646&doi=10.1109%2fRE59067.2024.00049&partnerID=40&md5=2397641bfe4b4e34a2edb3ddda92010d,,,,,,,,,YES,F,,1,1,,,General domain; demonstrated on a university event scheduling system (SuperFrog Scheduler),Requirements Understanding and Functional Requirements Extraction,Software Engineer GPT,YES,-,Standalone,,FS,Instruction，iterative,Yes,Software Engineer GPT,yes,"SuperFrog Scheduler requirements (project glossary, vision/scope, use cases)",yes,"qualitative assessment (alignment with requirements, usability, accuracy)","case study (real-world project, stepwise demonstration)",Functional Suitability，Maintainability，Reliability,1,1,0.5,1,3.5,no,no,no,YES,no,no,YES,YES,YES,no,"concept/prototype, open-source, barriers highlighted (usability/UI)",Limited to one case study; no quantitative evaluation; UI/UX limitations of ChatGPT interface; not tested on real-time/AI/games; future work needed for broader applicability and user studies.
14,Structuring Natural Language Requirements with Large Language Models,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203107747&doi=10.1109%2fREW61692.2024.00013&partnerID=40&md5=18502d182f23c7478fb9434510e9f1be,,,,,,,,,YES,S,,,1,,,"Aerospace (aircraft certification, space systems); general requirements engineering",Natural language requirements translation to structured formats,GPT-4,NO,temp 0,Standalone,one-shot prompting,OS,Instruction,Yes,no,no,"CS-25 (EASA), Herschel-Planck SRS (ESA)",no,BLEU,"Expert and non-expert annotation comparison (preliminary, not full user study)",Functional Suitability,0.5,0.5,0,1,2,no,no,no,no,no,no,no,YES,YES,no,concept/prototype,Dependency on expert annotation consistency; scalability to few-shot/zero-shot not yet tested
