ID,Authors,Title,Abstract,Year,Source title,Link,Haowei,Category: [LLM/GPT/BERT in RE]  [Review/Unrelated/Unclear],Jati,Category: [LLM/GPT/BERT in RE]  [Review/Unrelated/Unclear],Inclusion:[YES|NO],Haowei,Type of paper,Aspects of requirements,Type of RE activities,Modeling type,Model Type,Training Data,Fine-tuning,Prompt Engineering,Metrics,Role of LLM / GPT*,Challenge,Jati,Type of paper,Type of requirements,Type of RE activities,Modeling type,Application domain,Review Status,Final reviewer,Inclusion:[YES|NO],Type of paper,Type of requirements,Type of RE activities,Modeling type,Application domain
41,"Mohammadmehdi Ataei, Hyunmin Cheong, Daniele Grandi, Ye Wang, Nigel Morris, Alexander Tessier",Elicitron: An LLM Agent-Based Simulation Framework for Design Requirements Elicitation,"Requirements elicitation, a critical, yet time-consuming and challenging step in product development, often fails to capture the full spectrum of user needs. This may lead to products that fall short of expectations. This paper introduces a novel framework that leverages Large Language Models (LLMs) to automate and enhance the requirements elicitation process. LLMs are used to generate a vast array of simulated users (LLM agents), enabling the exploration of a much broader range of user needs and unforeseen use cases. These agents engage in product experience scenarios, through explaining their actions, observations, and challenges. Subsequent agent interviews and analysis uncover valuable user needs, including latent ones. We validate our framework with three experiments. First, we explore different methodologies for diverse agent generation, discussing their advantages and shortcomings. We measure the diversity of identified user needs and demonstrate that context-aware agent generation leads to greater diversity. Second, we show how our framework effectively mimics empathic lead user interviews, identifying a greater number of latent needs than conventional human interviews. Third, we showcase that LLMs can be used to analyze interviews, capture needs, and classify them as latent or not. Our work highlights the potential of using LLM agents to accelerate early-stage product development, reduce costs, and increase innovation.",2024,,https://arxiv.org/abs/2404.16045,Haowei,LLMinRE,,LLMinRE,YES,,Arxiv,Safety， Functional Suitability,Elicitation,No,GPT-4-Turbo,,No,Yes (few-shot and chain-of-thought),"Precision, recall, F1-score",LLMs demonstrate effectiveness in analyzing interviews and classifying latent needs.,Quality of insights depends on the LLM’s capabilities,,,,,,,,,,,,,,
42,"Zheying Zhang, Maruf Rayhan, Tomas Herda, Manuel Goisauf, Pekka Abrahamsson",LLM-based agents for automating the enhancement of user story quality: An early report,"In agile software development, maintaining high-quality user stories is crucial, but also challenging. This study explores the use of large language models (LLMs) to automatically improve the user story quality in Austrian Post Group IT agile teams. We developed a reference model for an Autonomous LLM-based Agent System (ALAS), and implemented it at Austrian Post Group IT. The quality of use stories in the study and the effectiveness of these agents were assessed by 11 participants across six agile teams. Our findings demonstrate the potential of LLMs in improving user story quality, contributing to the research on AI’s role in Agile development, and providing a practical example of the transformative impact of AI in an industry setting.",2024,,https://arxiv.org/abs/2403.09442,Haowei,LLMinRE,,LLMinRE,YES,,Arxiv,"Maintainability（Modularity， Analyzability）
Interaction Capability（Appropriateness Recognizability， Operability）",Elicitation,No,GPT-3.5-turbo and GPT-4,"From Austrian Post Group IT agile teams
Size 25 stories",No,Yes few shot,Likert scale（questionnaire）,"LLM improves user story clarity, comprehensibility, and alignment with business objectives",Need fine-tuning parameters to minimize hallucinations and enhance contextual accuracy.,,,,,,,,,,,,,,
43,"Beian Wang, Chong Wang, Peng Liang, Bing Li, Cheng Zeng",How LLMs Aid in UML Modeling: An Exploratory Study with Novice Analysts,"Since the emergence of GPT-3, Large Language Models (LLMs) have caught the eyes of researchers, practitioners, and educators in the field of software engineering. However, there has been relatively little investigation regarding the performance of LLMs in assisting with requirements analysis and UML modeling. This paper explores how LLMs can assist novice analysts in creating three types of typical UML models: use case models, class diagrams, and sequence diagrams. For this purpose, we designed the modeling tasks of these three UML models for 45 undergraduate students who participated in a requirements modeling course, with the help of LLMs. By analyzing their project reports, we found that LLMs can assist undergraduate students as notice analysts in UML modeling tasks, but LLMs also have shortcomings and limitations.",2024,,https://arxiv.org/abs/2404.17739,Haowei,LLMinRE,,LLMinRE,YES,,Arxiv,"Functional Suitability（functional completeness ，Functional Correctness）
Interaction Capability（Learnability， Operability）",Analysis & Validation,UML ,GPT-3.5 and GPT-4,"From：undergraduate students
Size：45",No,Yes few shot,correctness rate,"LLMs can already serve as an auxiliary tool to provide effective suggestions, appropriate guidance, and reference examples for software modeling.",Uncertainty of the LLM outputs,,,,,,,,,,,,,,
44,"Abdelkarim El-Hajjami, Nicolas Fafin, Camille Salinesi","Which AI Technique Is Better to Classify Requirements? An Experiment with SVM, LSTM, and ChatGPT","Recently, Large Language Models like ChatGPT have demonstrated remarkable proficiency in various Natural Language Processing tasks. Their application in Requirements Engineering, especially in requirements classification, has gained increasing interest. This paper reports an extensive empirical evaluation of two ChatGPT models, specifically gpt-3.5-turbo, and gpt-4 in both zero-shot and few-shot settings for requirements classification. The question arises as to how these models compare to traditional classification methods, specifically Support Vector Machine and Long Short-Term Memory. Based on five different datasets, our results show that there is no single best technique for all types of requirement classes. Interestingly, the few-shot setting has been found to be beneficial primarily in scenarios where zero-shot results are significantly low.",2024,Joint Proceedings of REFSQ-2024 Workshop,"[2311.11547] Which AI Technique Is Better to Classify Requirements? An Experiment with SVM, LSTM, and ChatGPT (arxiv.org)",Haowei,GPTinRE,,GPTinRE,YES,,workshop,"Functionality（Functional Correctness， Functional Appropriateness）
Performance Efficiency（Time Behaviour， Resource Utilization）",Specification,No specific,"GPT-3.5-turbo, GPT-4","From：PROMISE, Dronology, ReqView, Leeds Library, WASP
Size：956",No,Yes  few shot and zero shot,𝐹𝛽 score,"By demonstrating the potential of different AI techniques in requirements 
classification tasks, it can improve the efficiency and accuracy of the requirements engineering process.","the sensitivity of ChatGPT’s responses to prompt variations and the non-deterministic nature of its output, 
which could vary slightly even with identical prompts.",,,,,,,,,,,,,,
45,"Krishna Ronanki, Beatriz Cabrero-Daniel, Jennifer Horkoff, Christian Berger",Requirements Engineering using Generative AI: Prompts and Prompting Patterns,"[Context]: Companies are increasingly recognizing the importance of automating Requirements Engineering (RE) tasks due to their resource-intensive nature. The advent of GenAI has made these tasks more amenable to automation, thanks to its ability to understand and interpret context effectively. [Problem]: However, in the context of GenAI, prompt engineering is a critical factor for success. Despite this, we currently lack tools and methods to systematically assess and determine the most effective prompt patterns to employ for a particular RE task. [Method]: Two tasks related to requirements, specifically requirement classification and tracing, were automated using the GPT-3.5 turbo API. The performance evaluation involved assessing various prompts created using 5 prompt patterns and implemented programmatically to perform the selected RE tasks, focusing on metrics such as precision, recall, accuracy, and F-Score. [Results]: This paper evaluates the effectiveness of the 5 prompt patterns' ability to make GPT-3.5 turbo perform the selected RE tasks and offers recommendations on which prompt pattern to use for a specific RE task. Additionally, it also provides an evaluation framework as a reference for researchers and practitioners who want to evaluate different prompt patterns for different RE tasks.",2024,arXiv,https://arxiv.org/abs/2311.03832,Haowei,GPTinRE,,GPTinRE,YES,,Arxiv,"Functional Suitability（functional completeness ，Functional Correctness）
Maintainability（Modularity， Analyzability）","elicitation
Analysis & Validation",No specific,GPT-3.5 turbo,"From：PROMISE（621 requirements）
 / PURE",No,YES - Used few-shot,precision、recall、accuracy，F-score,"By demonstrating the potential of generative AI in requirements classification and traceability tasks, 
it can improve the efficiency and accuracy of the requirements engineering process.","The sensitivity of prompt engineering means that different prompts 
can lead to significantly different results, necessitating careful design and testing.",,,,,,,,,,,,,,
46,"Andreas Vogelsang, Jannik Fischbach",Using Large Language Models for Natural Language Processing Tasks in Requirements Engineering: A Systematic Guideline,"Large Language Models (LLMs) are the cornerstone in automating Requirements Engineering (RE) tasks, underpinning recent advancements in the field. Their pre-trained comprehension of natural language is pivotal for effectively tailoring them to specific RE tasks. However, selecting an appropriate LLM from a myriad of existing architectures and fine-tuning it to address the intricacies of a given task poses a significant challenge for researchers and practitioners in the RE domain. Utilizing LLMs effectively for NLP problems in RE necessitates a dual understanding: firstly, of the inner workings of LLMs, and secondly, of a systematic approach to selecting and adapting LLMs for NLP4RE tasks. This chapter aims to furnish readers with essential knowledge about LLMs in its initial segment. Subsequently, it provides a comprehensive guideline tailored for students, researchers, and practitioners on harnessing LLMs to address their specific objectives. By offering insights into the workings of LLMs and furnishing a practical guide, this chapter contributes towards improving future research and applications leveraging LLMs for solving RE challenges.",2024,,https://arxiv.org/abs/2402.13823,Haowei,LLMinRE（Review）,,LLMinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Alessio Ferrari, Sallam Abualhaija, Chetan Arora",Model Generation from Requirements with LLMs: an Exploratory Study,"Complementing natural language (NL) requirements with graphical models can improve stakeholders' communication and provide directions for system design. However, creating models from requirements involves manual effort. The advent of generative large language models (LLMs), ChatGPT being a notable example, offers promising avenues for automated assistance in model generation. This paper investigates the capability of ChatGPT to generate a specific type of model, i.e., UML sequence diagrams, from NL requirements. We conduct a qualitative study in which we examine the sequence diagrams generated by ChatGPT for 28 requirements documents of various types and from different domains. Observations from the analysis of the generated diagrams have systematically been captured through evaluation logs, and categorized through thematic analysis. Our results indicate that, although the models generally conform to the standard and exhibit a reasonable level of understandability, their completeness and correctness with respect to the specified requirements often present challenges. This issue is particularly pronounced in the presence of requirements smells, such as ambiguity and inconsistency. The insights derived from this study can influence the practical utilization of LLMs in the RE process, and open the door to novel RE-specific prompting strategies targeting effective model generation.",2024,,https://arxiv.org/abs/2404.06371,Haowei,LLMinRE（Review）,,LLMinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Luitel, D., Hassani, S. & Sabetzadeh, M",Improving requirements completeness: automated assistance through large language models,"Natural language (NL) is arguably the most prevalent medium for expressing systems and software requirements. Detecting incompleteness in NL requirements is a major challenge. One approach to identify incompleteness is to compare requirements with external sources. Given the rise of large language models (LLMs), an interesting question arises: Are LLMs useful external sources of knowledge for detecting potential incompleteness in NL requirements? This article explores this question by utilizing BERT. Specifically, we employ BERT’s masked language model to generate contextualized predictions for filling masked slots in requirements. To simulate incompleteness, we withhold content from the requirements and assess BERT’s ability to predict terminology that is present in the withheld content but absent in the disclosed content. BERT can produce multiple predictions per mask. Our first contribution is determining the optimal number of predictions per mask, striking a balance between effectively identifying omissions in requirements and mitigating noise present in the predictions. Our second contribution involves designing a machine 
 learning-based filter to post-process BERT’s predictions and further reduce noise. We conduct an empirical evaluation using 40 requirements specifications from the PURE dataset. Our findings indicate that: (1) BERT’s predictions effectively highlight terminology that is missing from requirements, (2) BERT outperforms simpler baselines in identifying relevant yet missing terminology, and (3) our filter reduces noise in the predictions, enhancing BERT’s effectiveness for completeness checking of requirements.",2024,,https://arxiv.org/abs/2308.03784,Haowei,BERTinRE,,BERTinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Sauvola, J., Tarkoma, S., Klemettinen, M. et al.",Future of software development with generative AI ,"Generative AI is regarded as a major disruption to software development. Platforms, repositories, clouds, and the automation of tools and processes have been proven to improve productivity, cost, and quality. Generative AI, with its rapidly expanding capabilities, is a major step forward in this field. As a new key enabling technology, it can be used for many purposes, from creative dimensions to replacing repetitive and manual tasks. The number of opportunities increases with the capabilities of large-language models (LLMs). This has raised concerns about ethics, education, regulation, intellectual property, and even criminal activities. We analyzed the potential of generative AI and LLM technologies for future software development paths. We propose four primary scenarios, model trajectories for transitions between them, and reflect against relevant software development operations. The motivation for this research is clear: the software development industry needs new tools to understand the potential, limitations, and risks of generative AI, as well as guidelines for using it.",2024,Automated Software Engineering,https://link.springer.com/article/10.1007/s10515-024-00426-z,Haowei,GenAIinRE Review,,LLMinSE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Chetan Arora, John Grundy, Mohamed Abdelrazek",Advancing Requirements Engineering through Generative AI: Assessing the Role of LLMs,"Requirements Engineering (RE) is a critical phase in software development including the elicitation, analysis, specification, and validation of software requirements. Despite the importance of RE, it remains a challenging process due to the complexities of communication, uncertainty in the early stages and inadequate automation support. In recent years, large-language models (LLMs) have shown significant promise in diverse domains, including natural language processing, code generation, and program understanding. This chapter explores the potential of LLMs in driving RE processes, aiming to improve the efficiency and accuracy of requirements-related tasks. We propose key directions and SWOT analysis for research and development in using LLMs for RE, focusing on the potential for requirements elicitation, analysis, specification, and validation. We further present the results from a preliminary evaluation, in this context.",2023,,[2310.13976] Advancing Requirements Engineering through Generative AI: Assessing the Role of LLMs (arxiv.org),Haowei,LLMinRE Survey,,LLMinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Axel van Lamsweerde,An iterative approach for model-based requirements engineering in large collaborative projects: A detailed experience report,"In this paper, we report on our 7 years of practical experience designing, developing, deploying, using, and evolving an iterative Model-based Requirements Engineering (MBRE) approach and language in the context of five large European collaborative projects providing complex software-intensive solutions. Based on significant data sets collected both during project execution and via surveys realized afterward, we demonstrate that such a model-based approach can bring interesting benefits in terms of scalability (e.g., a large number of handled requirements), heterogeneity (e.g., partners with different types of RE background), adaptability and extensibility (e.g., to various project's needs), traceability (e.g., from the requirements to the software components), automation (e.g., documentation generation), consistency and quality (e.g., central model), and usefulness or usability (e.g., actual deployment and practical use). Along the way, we illustrate the application of our MBRE approach and language with concrete elements from these several European collaborative projects. More broadly, we discuss the general benefits and current limitations of using such a model-based approach and corresponding language, as well as the related lessons we learned during these past years.",2024,Science of Computer Programming,https://www.sciencedirect.com/science/article/pii/S0167642323001296?casa_token=EieCxyxyd-YAAAAA:zs13oADgBm0ZTTSHkBI0SOJVod2EAzjkB47P0B240Es_TrW9-n9JwFnMpnNXOmzLdw4lfzE_htPu,Haowei,RE Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
